Sr#,District,Block,Village/Town Code,Village/Town Name,People Groups,Language Groups,Gath Type,MC,HC,PC,AV,EV,Church/Orgn Name,Pastor/Leader Name,Comments
15109,Gopalganj,Katiya,1762386100,Binod Chak,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,Joyous Church,,AV to PC @ Sept'25
15113,Gopalganj,Katiya,1762390900,Arazi Rudarpur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Bihar seva,,
15114,Gopalganj,Katiya,1762801325,Kataiya (NP),"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Bihar seva,,
15115,Gopalganj,Kuchaikote,1763230279,Adhmauli,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Shambhu,
15116,Gopalganj,Kuchaikote,1763230370,Adhmauli,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,,Shambhu,
15120,Gopalganj,Kuchaikote,1763230281,Arazi Math Hankar,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,MC,1,0,0,0,0,,Shambhu,
15121,Gopalganj,Kuchaikote,1763230282,Arazipur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,,Shambhu,
15122,Gopalganj,Kuchaikote,1769230462,Asandi,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Shambhu,
15125,Gopalganj,Kuchaikote,1763230393,Isar Patti,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Shambhu,
15126,Gopalganj,Kuchaikote,1763230483,Iswapur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Shambhu,
15128,Gopalganj,Kuchaikote,1763230322,Udkara,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,India mission,,
15133,Gopalganj,Kuchaikote,1769230492,Kawla Chak,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,MC,1,0,0,0,0,India mission,,
15134,Gopalganj,Kuchaikote,1765230312,Kilpur Khap,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,India mission,,
15137,Gopalganj,Kuchaikote,1763230464,Khajuri,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,India mission,,
15138,Gopalganj,Kuchaikote,1763230481,Khan Patti,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,India mission,,
15142,Gopalganj,Kuchaikote,1763230436,Khem Matihanian,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,India mission,,
15144,Gopalganj,Kuchaikote,1763230471,Khairathwa,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,India mission,,
15149,Gopalganj,Kuchaikote,1766230455,Gopalpur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,Joyous Church,,AV to PC @ Sept'25
15150,Gopalganj,Kuchaikote,1763230394,Ghatimpur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,India mission,,
15153,Gopalganj,Kuchaikote,1763230321,Chanri Durg,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,,Sonal,
15154,Gopalganj,Kuchaikote,1763230315,Chanri Partap,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,MC,1,0,0,0,0,,Sonal,
15157,Gopalganj,Kuchaikote,1769230493,Chauchakka,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,,Sonal,
15158,Gopalganj,Kuchaikote,1763230446,Chauranw,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Sonal,
15160,Gopalganj,Kuchaikote,1763230287,Chhatar Patti,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Sonal,
15161,Gopalganj,Kuchaikote,1763230330,Jagarnathpur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Sonal,
15162,Gopalganj,Kuchaikote,1763230397,Jabdauli,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Sonal,
15164,Gopalganj,Kuchaikote,1763230377,Jalalpur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,Pentecostal Church,,AV to PC @ Oct - Dec'25
15167,Gopalganj,Kuchaikote,1765230345,Jogipur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,Elroe church,,
15168,Gopalganj,Kuchaikote,1763230357,Tiwari Kharea,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,MC,1,0,0,0,0,Elroe church,,
15171,Gopalganj,Kuchaikote,1763230290,Tola Palat Ray,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,Elroe church,,
15172,Gopalganj,Kuchaikote,1763230427,Tola Sipahiya,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15173,Gopalganj,Kuchaikote,1763230486,Tola Sirsia,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15176,Gopalganj,Kuchaikote,1763230430,Diara Bijaypur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15177,Gopalganj,Kuchaikote,1763230437,Diara Bijaypur Hissa,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15179,Gopalganj,Kuchaikote,1763230318,Dubaulia,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15185,Gopalganj,Kuchaikote,1763230320,Dharampur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,A.G.,,
15186,Gopalganj,Kuchaikote,1763230362,Dharhwalia,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,MC,1,0,0,0,0,A.G.,,
15187,Gopalganj,Kuchaikote,1763230324,Dhebuwa,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,A.G.,,
15191,Gopalganj,Kuchaikote,1763230293,Narahwa Sukul,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,Joyous Church,,AV to PC @ Sept'25
15194,Gopalganj,Kuchaikote,1763230374,Nichua Panre Tola,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,A.G.,,
15195,Gopalganj,Kuchaikote,1766230352,Nirjalaha,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,A.G.,,
15196,Gopalganj,Kuchaikote,1763230343,Panchamwa,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,A.G.,,
15200,Gopalganj,Kuchaikote,1763230298,Parsauni Gopalpur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,A.G.,,
15201,Gopalganj,Kuchaikote,1763230445,Parsauni Panre,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,A.G.,,
15206,Gopalganj,Kuchaikote,1763230363,Pulwaria,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,Joy of church,,
15208,Gopalganj,Kuchaikote,1763230372,Pokhar Bhinda,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,MC,1,0,0,0,0,Joy of church,,
15210,Gopalganj,Kuchaikote,1763230442,Bankat,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,Joy of church,,
15212,Gopalganj,Kuchaikote,1769230494,Bangal Khand,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,Joy of church,,AV to PC @ Feb'25
15214,Gopalganj,Kuchaikote,1763230297,Banjaria,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Joy of church,,
15216,Gopalganj,Kuchaikote,1763230448,Bantail,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Joy of church,,
15218,Gopalganj,Kuchaikote,1763230412,Baghauch,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Joy of church,,
15220,Gopalganj,Kuchaikote,1763230314,Bania Chhapar,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Joy of church,,
15223,Gopalganj,Kuchaikote,1763230327,Barnaiyan Rajaram,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Joy of church,,
15225,Gopalganj,Kuchaikote,1763230380,Barwa Khurd,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Joy of church,,
15228,Gopalganj,Kuchaikote,1763230390,Baliwan Raemel,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,,Endradev Ram,
15231,Gopalganj,Kuchaikote,1763230416,Basmanian,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,MC,1,0,0,0,0,,Endradev Ram,
15233,Gopalganj,Kuchaikote,1763230337,Bikrampur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,,Endradev Ram,
15234,Gopalganj,Kuchaikote,1763230438,Bijaypur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Endradev Ram,
15235,Gopalganj,Kuchaikote,1763230332,Binod Kharea,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Endradev Ram,
15238,Gopalganj,Kuchaikote,1763230373,Bishunpura,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Endradev Ram,
15239,Gopalganj,Kuchaikote,1763230473,Burhi,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,Joyous Church,,AV to PC @ Sept'25
15242,Gopalganj,Kuchaikote,1763230404,Belthari,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Endradev Ram,
15243,Gopalganj,Kuchaikote,1763436400,Belthari,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Endradev Ram,
15248,Gopalganj,Kuchaikote,1763230400,Belsara,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,,Sanjeev kumar,
15249,Gopalganj,Kuchaikote,1766230351,Baijalha,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,MC,1,0,0,0,0,,Sanjeev kumar,
15252,Gopalganj,Kuchaikote,1763230423,Bhatwa Parasram,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Sanjeev kumar,
15254,Gopalganj,Kuchaikote,1763230392,Bharthia,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Sanjeev kumar,
15256,Gopalganj,Kuchaikote,1763230431,Bhoj Chhapar,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,Pentecostal Church,,AV to PC @ Oct - Dec'25
15258,Gopalganj,Kuchaikote,1763230411,Bhopatpur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Sanjeev kumar,
15262,Gopalganj,Kuchaikote,1763230433,Matihanian Kalan,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,,Sanjeev kumar,
15263,Gopalganj,Kuchaikote,1763230426,Matihanian Tewari,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Sanjeev kumar,
15265,Gopalganj,Kuchaikote,1766230453,Mateya Khas,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Sanjeev kumar,
15268,Gopalganj,Kuchaikote,1763230488,Mathia Panre,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Sanjeev kumar,
15269,Gopalganj,Kuchaikote,1769230354,Mathia Hata,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,,Sanjeev kumar,
15273,Gopalganj,Kuchaikote,1763230284,Madha Chak,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,MC,1,0,0,0,0,A.G.,,
15274,Gopalganj,Kuchaikote,1763230490,Madho Math,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,A.G.,,
15278,Gopalganj,Kuchaikote,1763230484,Mithua,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,A.G.,,
15279,Gopalganj,Kuchaikote,1763230359,Misrain Chak,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,A.G.,,
15281,Gopalganj,Kuchaikote,1763230378,Raqba,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,HC,0,1,0,0,0,A.G.,,
15283,Gopalganj,Kuchaikote,1763230299,Rajapur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,A.G.,,
15284,Gopalganj,Kuchaikote,1763230457,Rajapur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,A.G.,,
15290,Gopalganj,Kuchaikote,1763230335,Rampur Jaga,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Joy of church,,
15292,Gopalganj,Kuchaikote,1763230467,Rampur Daud,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Joy of church,,
15293,Gopalganj,Kuchaikote,1763230361,Rampur Babu,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,Joy of church,,AV to PC @ Feb'25
15295,Gopalganj,Kuchaikote,1763230385,Rampur Makund,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Joy of church,,
15298,Gopalganj,Kuchaikote,1763230428,Rup Chhap,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Joy of church,,
15301,Gopalganj,Kuchaikote,1763230342,Lachhpur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Joy of church,,
15302,Gopalganj,Kuchaikote,1769230459,Lal Begi,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,PC,0,0,1,0,0,Joyous Church,,AV to PC @ Sept'25
15307,Gopalganj,Kuchaikote,1763230441,Sherpur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15308,Gopalganj,Kuchaikote,1765230278,Sangwa Dih,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15312,Gopalganj,Kuchaikote,1763230465,Sasamusa,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15313,Gopalganj,Kuchaikote,1763230295,Sital Narahwa,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15314,Gopalganj,Kuchaikote,1763230477,Sital Bardaha,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15317,Gopalganj,Kuchaikote,1763230369,Suklauli,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15319,Gopalganj,Kuchaikote,1763230316,Sujanpur,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15321,Gopalganj,Kuchaikote,1763230319,Sonahula Gokhul,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15322,Gopalganj,Kuchaikote,1763230328,Sonahula Chandra Bhan,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15325,Gopalganj,Kuchaikote,1763230391,Sobhan Chak,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
15330,Gopalganj,Kuchaikote,1763230384,Hit Patti,"Chamar,Paswan,Kushvaha,Teli,Yadav,Musalim,Musahar,Sonar,Lohar,Rajput,Pandit,Kurmi,Pasi,Manjhi",Bhojpuri/Hindi,AV,0,0,0,1,0,Elroe church,,
